

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
12/19/2025,REINVESTMENT FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),FSELX,FIDELITY SELECT SEMICONDUCTORS PORT,Cash,0,,USD,42.87,0.200,0,,,,-8.56,0.00,
12/19/2025,REINVESTMENT FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,237.27,0.013,0,,,,-3.10,8.56,
12/19/2025,DIVIDEND RECEIVED FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,,0.000,0,,,,3.10,11.66,
12/19/2025,REINVESTMENT FIDELITY INTERNATL INDEX FUND (FSPSX) (Cash),FSPSX,FIDELITY INTERNATL INDEX FUND,Cash,0,,USD,60.32,0.226,0,,,,-13.60,8.56,
12/19/2025,DIVIDEND RECEIVED FIDELITY INTERNATL INDEX FUND (FSPSX) (Cash),FSPSX,FIDELITY INTERNATL INDEX FUND,Cash,0,,USD,,0.000,0,,,,13.60,22.16,
12/19/2025,REINVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash),FSKAX,FIDELITY TOTAL MARKET INDEX FUND,Cash,0,,USD,186.86,0.407,0,,,,-76.07,8.56,
12/19/2025,DIVIDEND RECEIVED FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash),FSKAX,FIDELITY TOTAL MARKET INDEX FUND,Cash,0,,USD,,0.000,0,,,,76.07,84.63,
12/19/2025,SHORT-TERM CAP GAIN FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),FSELX,FIDELITY SELECT SEMICONDUCTORS PORT,Cash,0,,USD,,0.000,0,,,,1.00,8.56,
12/19/2025,LONG-TERM CAP GAIN FIDELITY SELECT SEMICONDUCTORS PORT (FTEC) (Cash),FTEC,FIDELITY MSCI INFO TECH INDEX ETF,Cash,0,,USD,,0.000,0,,,,7.56,7.56,
12/15/2025,REINVESTMENT SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,32.79,0.09,0,,,,-3.04,0.00,
12/15/2025,DIVIDEND RECEIVED SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,,0.000,0,,,,3.04,3.04,
12/12/2025,REINVESTMENT FIDELITY TOTAL INTL INDEX FUND (FTIHX) (Cash),FTIHX,FIDELITY TOTAL INTL INDEX FUND,Cash,0,,USD,17.02,0.697,0,,,,-11.86,0.00,
12/12/2025,DIVIDEND RECEIVED FIDELITY TOTAL INTL INDEX FUND (FTIHX) (Cash),FTIHX,FIDELITY TOTAL INTL INDEX FUND,Cash,0,,USD,,0.000,0,,,,11.86,11.86,
10/03/2025,REINVESTMENT FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,233.28,0.012,0,,,,-2.87,0.00,
10/03/2025,DIVIDEND RECEIVED FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,,0.000,0,,,,2.87,2.87,
09/29/2025,REINVESTMENT SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,31.86,0.088,0,,,,-2.81,0.00,
09/29/2025,DIVIDEND RECEIVED SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,,0.000,0,,,,2.81,2.81,
07/11/2025,REINVESTMENT FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,217.45,0.013,0,,,,-2.78,0.00,
07/11/2025,DIVIDEND RECEIVED FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,,0.000,0,,,,2.78,2.78,
07/07/2025,REINVESTMENT GLOBAL X FDS DAX GERMANY ETF (DAX) (Cash),DAX,GLOBAL X FDS DAX GERMANY ETF,Cash,0,,USD,44.83,0.136,0,,,,-6.12,0.00,
07/07/2025,DIVIDEND RECEIVED GLOBAL X FDS DAX GERMANY ETF (DAX) (Cash),DAX,GLOBAL X FDS DAX GERMANY ETF,Cash,0,,USD,,0.000,0,,,,6.12,6.12,
06/30/2025,REINVESTMENT SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,29.66,0.088,0,,,,-2.62,0.00,
06/30/2025,DIVIDEND RECEIVED SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,,0.000,0,,,,2.62,2.62,
04/11/2025,REINVESTMENT FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),FSELX,FIDELITY SELECT SEMICONDUCTORS PORT,Cash,0,,USD,24.69,0.228,0,,,,-5.63,0.00,
04/11/2025,REINVESTMENT FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash),FSKAX,FIDELITY TOTAL MARKET INDEX FUND,Cash,0,,USD,146.14,0.031,0,,,,-4.59,5.63,
04/11/2025,DIVIDEND RECEIVED FIDELITY TOTAL MARKET INDEX FUND (FSKAX) (Cash),FSKAX,FIDELITY TOTAL MARKET INDEX FUND,Cash,0,,USD,,0.000,0,,,,4.59,10.23,
04/11/2025,LONG-TERM CAP GAIN FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),FSELX,FIDELITY SELECT SEMICONDUCTORS PORT,Cash,0,,USD,,0.000,0,,,,5.63,5.63,
04/04/2025,REINVESTMENT FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,176.18,0.014,0,,,,-2.53,0.00,
04/04/2025,DIVIDEND RECEIVED FIDELITY 500 INDEX FUND (FXAIX) (Cash),FXAIX,FIDELITY 500 INDEX FUND,Cash,0,,USD,,0.000,0,,,,2.53,2.53,
03/31/2025,REINVESTMENT SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,26.9,0.091,0,,,,-2.45,0.00,
03/31/2025,DIVIDEND RECEIVED SCHWAB STRATEGIC TR 1000 INDEX ETF (SCHK) (Cash),SCHK,SCHWAB STRATEGIC TR 1000 INDEX ETF,Cash,0,,USD,,0.000,0,,,,2.45,2.45,
01/07/2025,REINVESTMENT GLOBAL X FDS DAX GERMANY ETF (DAX) (Cash),DAX,GLOBAL X FDS DAX GERMANY ETF,Cash,0,,USD,33.77,0.028,0,,,,-0.94,0.00,
01/07/2025,DIVIDEND RECEIVED GLOBAL X FDS DAX GERMANY ETF (DAX) (Cash),DAX,GLOBAL X FDS DAX GERMANY ETF,Cash,0,,USD,,0.000,0,,,,0.94,0.94,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 01/01/2026 12:00 pm
